"","Var1","Freq"
"520","KLRG2",1
"521","KRR1",1
"522","KRT1",1
"523","KRT2",1
"524","KRT5",1
"525","KRT6A",1
"526","KRT6B",1
"527","KRT6C",1
"528","KRT7",1
"529","KRT7-AS",1
"530","KRT71",1
"531","KRT72",1
"532","KRT73",1
"533","KRT73-AS1",1
"534","KRT74",1
"535","KRT75",1
"536","KRT77",1
"537","KRT80",1
"538","KRT81",1
"539","KRT82",1
"540","KRT83",1
"541","KRT84",1
"542","KRT85",1
"543","KRT86",1
"544","KRT87P",1
"545","LACTB2",1
"546","LACTB2-AS1",1
"547","LALBA",1
"548","LAMA5",1
"549","LAMA5-AS1",1
"550","LAMTOR1",1
"551","LAT2",1
"552","LCE5A",1
"553","LEMD1",1
"554","LEMD1-AS1",1
"555","LEMD1-DT",1
"556","LEMD3",1
"557","LETM1",1
"558","LETMD1",1
"559","LGR5",1
"560","LGSN",1
"561","LIAS",1
"562","LIME1",1
"563","LIMK1",1
"565","LINGO1-AS1",1
"566","LINGO1-AS2",1
"567","LINGO4",1
"568","LIPT2",1
"569","LKAAEAR1",1
"570","LLPH",1
"571","LLPH-DT",1
"572","LMF2",1
"573","LMLN",1
"574","LMO2",1
"575","LNCOG",1
"576","LNP1",1
"577","LOC122526780",1
"578","LOC128125822",1
"579","LOC128966610",1
"581","LRP1",1
"582","LRP1-AS",1
"584","LRRC45",1
"585","LRRCC1",1
"586","LRTOMT",1
"587","LSM14B",1
"588","LTO1",1
"589","LUC7L2",1
"590","LY86",1
"591","LY86-AS1",1
"593","LYRM4",1
"594","LYRM4-AS1",1
"595","LYSMD1",1
"597","MACROD2",1
"598","MAFG",1
"599","MAN2A1",1
"600","MAN2A2",1
"601","MAPK8IP2",1
"602","MARCHF11",1
"603","MARCHF6",1
"605","MARS1",1
"606","MBD6",1
"607","MC3R",1
"608","MCMDC2",1
"609","MCRIP1",1
"610","MCUR1",1
"611","MDFIC2",1
"612","MDGA1",1
"615","MED31",1
"616","MESP1",1
"617","MESP2",1
"619","METTL27",1
"620","METTL7A",1
"621","METTL7B",1
"622","MFHAS1",1
"623","MFSD4A",1
"624","MFSD4A-AS1",1
"625","MHENCR",1
"626","MINDY1",1
"627","MINK1",1
"628","MIOX",1
"629","MIP",1
"631","MKRN1",1
"632","MLLT11",1
"633","MLXIPL",1
"634","MMD2",1
"635","MMP19",1
"636","MON2",1
"637","MRGBP",1
"638","MRPL12",1
"639","MRPL48",1
"640","MRPL9",1
"642","MRPS33",1
"643","MRS2P2",1
"644","MSC",1
"645","MSC-AS1",1
"646","MSRB3",1
"647","MTCH1",1
"648","MTCL3",1
"649","MTG2",1
"650","MYADML2",1
"651","MYBBP1A",1
"652","MYBL1",1
"653","MYC",1
"654","MYEOV",1
"655","MYH1",1
"656","MYH2",1
